prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
176, 91	2	176	0, 1	1	0.682316118936	0.990610328638	77	71	562
176, 96	2	176	0, 1	1	0.682316118936	0.992175273865	75	70	564
178, 110	2	178	0, 1	1	0.682316118936	1.0	74	74	565
178, 115	2	178	0, 1	1	0.682316118936	0.992175273865	78	73	561
178, 122	2	178	0, 1	1	0.682316118936	0.996870109546	76	74	563
178, 134	2	178	0, 0	1	0.733959311424	1.0	61	61	578
178, 153	2	178	0, 0	1	0.721439749609	1.0	53	53	586
178, 176	2	178	0, 0	1	0.72613458529	1.0	56	56	583
178, 180	2	178	0, 1	1	0.682316118936	0.998435054773	76	75	563
178, 198	2	178	0, 0	1	0.724569640063	0.992175273865	65	60	574
178, 209	2	178	0, 1	1	0.682316118936	0.995305164319	75	72	564
178, 224	2	178	0, 1	1	0.682316118936	0.993740219092	75	71	564
178, 239	2	178	0, 1	1	0.682316118936	0.992175273865	74	69	565
178, 26	2	178	0, 1	1	0.682316118936	0.992175273865	75	70	564
178, 281	2	178	0, 1	1	0.682316118936	1.0	75	75	564
178, 29	2	178	0, 1	1	0.682316118936	1.0	80	80	559
178, 296	2	178	0, 1	1	0.682316118936	0.990610328638	82	76	557
178, 298	2	178	0, 1	1	0.682316118936	0.990610328638	81	75	558
178, 304	2	178	0, 1	1	0.682316118936	1.0	87	87	552
178, 314	2	178	0, 1	1	0.682316118936	1.0	82	82	557
178, 333	2	178	0, 1	1	0.682316118936	1.0	89	89	550
178, 337	2	178	0, 1	1	0.682316118936	0.995305164319	72	69	567
178, 339	2	178	0, 1	1	0.682316118936	0.993740219092	76	72	563
178, 346	2	178	0, 0	1	0.713615023474	0.992175273865	58	53	581
178, 354	2	178	0, 1	1	0.682316118936	0.993740219092	75	71	564
178, 356	2	178	0, 1	1	0.682316118936	0.998435054773	73	72	566
178, 362	2	178	0, 1	1	0.682316118936	0.990610328638	81	75	558
178, 365	2	178	0, 1	1	0.682316118936	0.992175273865	74	69	565
178, 372	2	178	0, 0	1	0.721439749609	1.0	53	53	586
178, 374	2	178	0, 0	1	0.718309859155	0.995305164319	57	54	582
178, 375	2	178	0, 1	1	0.682316118936	0.992175273865	76	71	563
178, 5	2	178	0, 1	1	0.682316118936	0.996870109546	72	70	567
178, 51	2	178	0, 0	1	0.738654147105	1.0	64	64	575
